b�i_h?c,c�u_h?i,d�p_�n_A,d�p_�n_B,d�p_�n_C,d�p_�n_D,d�p_�n_d�ng,lo?i
"Phân đôi quyền kiểm soát","Một triết gia Khắc kỷ sẽ phản ứng thế nào khi bị ai đó lăng mạ?","Tức giận và lăng mạ lại","Nhận ra rằng lời nói của người đó không nằm trong tầm kiểm soát của mình và không để nó làm tổn thương","Khóc lóc suy sụp","Dùng bạo lực để tự vệ","B","tình_huống"
"Amor Fati - Tình yêu định mệnh","Khái niệm ""Amor Fati"" có nghĩa là gì?","Cam chịu mọi thứ","Tình yêu định mệnh, nhiệt thành đón nhận mọi điều xảy ra","Phản kháng lại số phận","Né tránh những điều xui xẻo","B","trắc_nghiệm"
"Amor Fati - Tình yêu định mệnh","Câu nói: ""Trở ngại trên đường chính là con đường"" thể hiện tư tưởng triết học nào?","Chủ nghĩa Mác-Lênin","Chủ nghĩa Khắc kỷ","Đạo giáo","Chủ nghĩa Khoái lạc","B","logic"
"Hiện hữu có trước Bản chất","Câu nói ""Hiện hữu có trước Bản chất"" khẳng định điều gì?","Số mệnh con người đã được Chúa định sẵn","Con người tự tạo ra ý nghĩa và bản chất của mình thông qua tự do lựa chọn","Bản chất con người được quyết định bởi gen di truyền","Xã hội quy định con người phải sống thế nào","B","trắc_nghiệm"
"Hiện hữu có trước Bản chất","Theo Sartre, cảm giác ""lo âu"" (angst) của con người bắt nguồn từ đâu?","Sự sợ hãi cái chết","Trách nhiệm khổng lồ đi kèm với sự tự do tuyệt đối","Không có đủ tiền bạc","Sự trừng phạt của thần linh","B","logic"
"Huyền thoại Sisyphus và Sự phi lý","Khái niệm ""Sự phi lý"" (The Absurd) của Camus mô tả điều gì?","Một câu chuyện hài hước","Sự xung đột giữa khát vọng tìm kiếm ý nghĩa của con người và vũ trụ vô nghĩa","Sự lố bịch của chính trị","Việc con người hành động phi logic","B","trắc_nghiệm"
"Huyền thoại Sisyphus và Sự phi lý","Camus đề xuất giải pháp nào trước Sự phi lý của cuộc đời?","Chấp nhận nó bằng sự phản kháng, say mê sống hiện tại","Tìm đến cái chết để thoát thoát","Tin vào thần linh để được an ủi","Sống buông thả không mục đích","A","logic"
"Hạnh phúc là sự tĩnh lặng","Theo Epicurus, ""Ataraxia"" có nghĩa là gì?","Sự giàu có tột bậc","Sự tĩnh lặng của tâm hồn, không bị xáo động","Đau đớn thể xác","Cảm giác phấn khích tột độ","B","trắc_nghiệm"
"Hạnh phúc là sự tĩnh lặng","Danh vọng và quyền lực thuộc loại ham muốn nào theo Epicurus?","Tự nhiên và cần thiết","Tự nhiên nhưng không cần thiết","Không tự nhiên và không cần thiết","Cần thiết nhưng không tự nhiên","C","logic"
"Cái chết không có gì đáng sợ","Lý do chính mà Epicurus cho rằng cái chết không đáng sợ là gì?","Vì thần linh sẽ che chở chúng ta ở thế giới bên kia","Vì ý thức tan biến, ta và cái chết không bao giờ chạm trán nhau","Vì y học sẽ luôn có cách cứu sống ta","Vì cái chết là một giấc mơ đẹp","B","trắc_nghiệm"
"Cái chết không có gì đáng sợ","Luận điểm về cái chết của Epicurus dựa trên nền tảng thế giới quan nào?","Chủ nghĩa duy tâm chủ quan","Thuyết nguyên tử duy vật","Thần học siêu nhiên","Thuyết hư vô","B","logic"
"Descartes và Sự hoài nghi","Mục đích của việc Descartes hoài nghi mọi thứ là gì?","Để chứng minh thế giới này không có thật","Để tìm ra một chân lý tuyệt đối chắc chắn làm nền tảng cho tri thức","Vì ông ghét tôn giáo","Để phủ nhận khoa học thực nghiệm","B","trắc_nghiệm"
"Descartes và Sự hoài nghi","Theo Descartes, điều duy nhất ông không thể hoài nghi là gì?","Sự tồn tại của Chúa","Việc ông đang thực hiện hành động tư duy (hoài nghi)","Sự thật toán học 2+2=4","Cơ thể vật lý của ông","B","logic"
"Chủ nghĩa Kinh nghiệm và Thuyết Quy nạp","Chủ nghĩa kinh nghiệm (Empiricism) cho rằng nguồn gốc của mọi tri thức đến từ đâu?","Trí tuệ bẩm sinh","Kinh nghiệm thông qua giác quan","Sự mặc khải của thần linh","Lý luận logic thuần túy","B","trắc_nghiệm"
"Chủ nghĩa Kinh nghiệm và Thuyết Quy nạp","""Vấn đề của phép quy nạp"" do David Hume nêu ra chỉ ra nhược điểm gì của khoa học?","Khoa học sử dụng quá nhiều toán học","Quá khứ lặp lại không đảm bảo 100% logic rằng tương lai cũng sẽ như vậy","Các nhà khoa học thường gian lận dữ liệu","Các thiết bị đo lường luôn có sai số","B","logic"
"Nhà nước Leviathan","Theo Hobbes, đặc điểm của ""Trạng thái tự nhiên"" khi chưa có nhà nước là gì?","Sự hòa bình, yêu thương và hợp tác lẫn nhau","Cuộc chiến của tất cả chống lại tất cả","Mọi người sống theo pháp luật của Chúa","Con người tự nguyện tuân theo đạo đức","B","trắc_nghiệm"
"Nhà nước Leviathan","""Leviathan"" trong triết học của Hobbes tượng trưng cho thực thể nào?","Một loài quái vật biển","Quyền lực tối cao của Nhà nước","Quyền tự do cá nhân","Lực lượng tự nhiên","B","logic"
"Bức màn vô minh","Thí nghiệm tư tưởng ""Bức màn vô minh"" được dùng để giải quyết vấn đề gì?","Chứng minh sự tồn tại của Chúa","Tìm ra nguyên tắc của sự công bằng và công lý","Giải thích nguồn gốc của vũ trụ","Phủ nhận nhà nước","B","trắc_nghiệm"
"Bức màn vô minh","Theo Nguyên tắc Khác biệt của Rawls, sự bất bình đẳng kinh tế chỉ được chấp nhận khi nào?","Khi nó tạo ra nhiều tỷ phú nhất","Khi nó mang lại lợi ích lớn nhất cho những người yếu thế, kém may mắn nhất","Khi xã hội có tỷ lệ tội phạm bằng không","Sự bất bình đẳng không bao giờ được chấp nhận","B","logic"
"Căn phòng tiếng Hoa","Thí nghiệm ""Căn phòng tiếng Hoa"" của John Searle nhằm mục đích chứng minh điều gì?","Tiếng Trung là ngôn ngữ khó nhất","Máy tính thao tác với cú pháp chứ không thực sự hiểu ngữ nghĩa","Máy tính có thể có ý thức nếu thuật toán đủ phức tạp","Con người không thể hiểu được AI","B","trắc_nghiệm"
"Căn phòng tiếng Hoa","Theo thí nghiệm Căn phòng tiếng Hoa, khi một AI như ChatGPT đưa ra câu trả lời xuất sắc, bản chất quá trình đó là gì?","Nó có trí thông minh tương đương con người","Nó chỉ áp dụng các quy tắc kết hợp ký hiệu (cú pháp) mà không hiểu ý nghĩa","Nó đã phát triển được linh hồn","Nó tự nhận thức được bản thân","B","logic"
"Bóng ma trong cỗ máy","Khái niệm ""Bóng ma trong cỗ máy"" của Gilbert Ryle nhằm châm biếm lý thuyết nào?","Thuyết tiến hóa","Thuyết nhị nguyên (cho rằng tâm trí phi vật chất tách biệt với thể xác)","Chủ nghĩa duy vật","Thuyết tương đối","B","trắc_nghiệm"
"Bóng ma trong cỗ máy","Sự kiện Phineas Gage bị biến đổi tính cách sau khi tổn thương não thường được dùng làm bằng chứng mạnh mẽ ủng hộ quan điểm nào?","Tâm trí hoàn toàn tách biệt khỏi thể xác","Tâm trí là sự phản ánh hoạt động vật lý của bộ não (Nhất nguyên duy vật)","Con người bị thần linh chi phối","Không có cái gọi là tâm trí","B","logic"
"Cái đẹp khách quan hay chủ quan?","Quan điểm ""Cái đẹp không nằm ở đôi má hồng của thiếu nữ mà nằm trong ánh mắt của kẻ si tình"" phản ánh trường phái mỹ học nào?","Khách quan tuyệt đối","Chủ quan (Cái đẹp do tâm trí người quan sát quyết định)","Chủ nghĩa Mác-Lênin","Thuyết hình thức","B","tình_huống"
"Cái đẹp khách quan hay chủ quan?","Theo Immanuel Kant, điểm khác biệt giữa phán đoán thẩm mỹ (""Bức tranh này đẹp"") và sở thích cá nhân (""Tôi thích kem"") là gì?","Sở thích cá nhân tốn tiền hơn","Phán đoán thẩm mỹ mang tính đòi hỏi phổ quát (mong người khác cũng đồng ý)","Phán đoán thẩm mỹ luôn bị sai","Không có sự khác biệt","B","logic"
"Nghệ thuật vị nghệ thuật hay vị nhân sinh?","Chủ trương ""Nghệ thuật vị nghệ thuật"" cho rằng mục tiêu cao nhất của tác phẩm nghệ thuật là gì?","Tuyên truyền chính trị","Phục vụ vẻ đẹp thẩm mỹ thuần túy, không bị trói buộc bởi đạo đức","Giáo dục giới trẻ","Kiếm thật nhiều tiền","B","trắc_nghiệm"
"Nghệ thuật vị nghệ thuật hay vị nhân sinh?","Theo quan điểm ""Nghệ thuật vị nhân sinh"", một tác phẩm nghệ thuật vĩ đại phải đáp ứng tiêu chí gì?","Dài và khó hiểu","Phản ánh hiện thực, khơi gợi lòng trắc ẩn và tiến bộ xã hội","Hoàn hảo về kỹ thuật hình thức","Hoàn toàn tách rời khỏi thực tế","B","logic"
"Trolley Problem và Chủ nghĩa Vị lợi","Chủ nghĩa Vị lợi (Utilitarianism) xác định tính đúng đắn của một hành động dựa trên tiêu chí nào?","Ý định của người thực hiện","Hậu quả mang lại lợi ích/hạnh phúc lớn nhất cho số đông nhất","Luật pháp của nhà nước","Lời răn của thần linh","B","trắc_nghiệm"
"Trolley Problem và Chủ nghĩa Vị lợi","Luận điểm ""Không bao giờ được dùng con người như một phương tiện"" (của Kant) phê phán trực tiếp điều gì ở Chủ nghĩa Vị lợi?","Tính toán lợi ích quá khó","Việc sẵn sàng hy sinh quyền của thiểu số để phục vụ mục đích của đa số","Không quan tâm đến kinh tế","Sự ích kỷ của con người","B","logic"
"Cỗ máy Trải nghiệm","Đa số mọi người từ chối bước vào ""Cỗ máy trải nghiệm"" của Robert Nozick vì lý do chính nào?","Sợ máy bị hỏng","Khao khát sự chân thật, muốn tiếp xúc với thực tại dẫu có đau đớn","Sợ chi phí quá đắt","Không tin tưởng vào khoa học","B","trắc_nghiệm"
"Cỗ máy Trải nghiệm","Thí nghiệm Cỗ máy trải nghiệm chứng minh điều gì về bản chất con người?","Con người là loài sinh vật lười biếng","Khoái cảm và hạnh phúc không phải là giá trị duy nhất mà con người theo đuổi","Con người không thể chế tạo được cỗ máy đó","Con người không bao giờ biết đủ","B","logic"
